Name	Procedural	With	Valence (1= positive, 0 = neutral, -1 = negative)	Comments	Politics
Sixth bureau	A1			article 20	liberal
Gouy-d'Arcy	C5	Sixth bureau	-1	not enough	
Gouy-d'Arcy	C3	Sixth bureau	1	brings in articles 20, 22, 23 from Sixth bureau	liberal
Gouy-d'Arcy	B1				liberal
Marguerites	B1				liberal
Mirabeau (comte)	A5	Marguerites	-1	doesn't like "retranché"	conservative
Lally-Tollendal	B4	Marguerites	1		n.a.
Broglie	B1				liberal-conservative
Target	C1				liberal-libertarian
Bouche	C3	Sieyès	1		
Laborde	B1				liberal
Virieu	B4	Marguerites	1		
Chapelier	A4	Sixth bureau	1	only article 20, not 22 and 23	liberal
Biauzat	C1				liberal
Pison du Galand	C1			"serviteurs de la nation"	conservative
Plusieurs membres	A5	Pison du Galand	-1		
Gouy d'Arcy	B1				liberal?
Malouet	B1				liberal?
Robespierre	B1				liberal?
Broglie	B1				liberal?
Target	B1				liberal?
Marguerites	B1				liberal?
Rhédon	B1				liberal?
Bouche	B1				liberal?
Laborde	B1				liberal?
Virieu	B1				liberal?
Vernier	B1				liberal?
Pison du Galand	B1				liberal?
Defermont	B1				liberal?
Mounier	B1				liberal?
Duport	B1				liberal?
Plusieurs membres	C3	Sieyès			liberal?
Boisgelin	A3				liberal
Madier, Lally-Tollendal	A3	Sixth Bureau		art. 20	liberal
Sixth bureau	A1			article 20	liberal
